Symbol,Year,Month,Avg_Close,Month_High,Month_Low,Avg_Volume,Avg_Return,Avg_Volatility,Avg_RSI,Trading_Days
HDFCBANK,2021,5,684.43,720.07,652.27,15841276.0,0.37,12.3,54.54,20
HDFCBANK,2021,6,707.55,723.17,689.07,9921203.0,-0.03,5.47,52.86,22
HDFCBANK,2021,7,702.86,735.03,667.8,14322795.0,-0.22,9.85,47.73,21
HDFCBANK,2021,8,720.27,753.1,670.65,12829658.0,0.5,8.88,65.83,21
HDFCBANK,2021,9,748.86,777.91,727.23,12248124.0,0.05,7.77,58.34,21
HDFCBANK,2021,10,777.69,820.47,741.99,12521382.0,-0.03,9.59,62.8,20
HDFCBANK,2021,11,736.09,771.48,695.38,12992476.0,-0.28,8.78,28.16,20
HDFCBANK,2021,12,706.54,739.64,672.6,9812086.0,-0.03,8.63,39.45,23
HDFCBANK,2022,1,724.31,749.91,682.54,15640181.0,0.03,10.61,57.96,20
HDFCBANK,2022,2,711.09,732.46,669.29,12963600.0,-0.18,11.75,47.04,20
HDFCBANK,2022,3,676.88,722.4,614.52,20434516.0,0.16,17.16,47.45,21
HDFCBANK,2022,4,688.33,819.1,628.91,35603391.0,-0.27,24.35,45.08,19
HDFCBANK,2022,5,640.82,683.5,615.08,19108933.0,0.08,10.27,42.75,21
HDFCBANK,2022,6,647.1,674.0,611.85,10619056.0,-0.13,9.47,48.53,22
HDFCBANK,2022,7,663.43,692.21,639.98,13522472.0,0.3,8.4,62.33,21
HDFCBANK,2022,8,706.1,728.44,679.87,11833871.0,0.18,8.95,71.96,20
HDFCBANK,2022,9,710.31,741.46,656.79,13483597.0,-0.19,10.21,49.44,22
HDFCBANK,2022,10,692.64,720.79,665.94,12045240.0,0.28,8.99,47.43,19
HDFCBANK,2022,11,758.99,790.08,716.75,14501189.0,0.35,12.26,76.91,21
HDFCBANK,2022,12,783.05,803.26,762.87,11832720.0,0.06,6.13,54.96,22
HDFCBANK,2023,1,779.41,819.14,750.62,14571361.0,-0.06,9.96,47.85,21
HDFCBANK,2023,2,788.29,809.28,758.95,12661319.0,0.0,9.23,49.6,20
HDFCBANK,2023,3,762.09,791.98,737.17,26785766.0,0.03,8.6,37.5,21
HDFCBANK,2023,4,802.73,827.61,771.19,34908927.0,0.28,9.18,73.75,17
HDFCBANK,2023,5,797.79,834.56,777.41,35074095.0,-0.15,8.63,47.61,22
HDFCBANK,2023,6,788.85,831.65,768.48,29027248.0,0.26,6.26,47.27,21
HDFCBANK,2023,7,813.92,855.35,791.91,44225447.0,-0.14,10.37,56.61,21
HDFCBANK,2023,8,783.41,811.52,758.45,38334826.0,-0.22,6.88,31.47,22
HDFCBANK,2023,9,771.46,812.77,737.33,51381383.0,-0.14,11.73,49.94,20
HDFCBANK,2023,10,737.3,757.16,710.68,31508795.0,-0.16,6.48,37.71,20
HDFCBANK,2023,11,733.14,765.29,711.66,29124842.0,0.27,4.64,55.32,20
HDFCBANK,2023,12,804.16,837.78,755.38,37826522.0,0.47,10.07,82.56,20
HDFCBANK,2024,1,770.1,831.82,671.75,56954016.0,-0.71,17.64,39.56,21
HDFCBANK,2024,2,691.71,720.71,663.62,45048541.0,-0.19,8.19,36.62,21
HDFCBANK,2024,3,702.39,716.21,681.36,51439079.0,0.18,5.49,58.2,18
HDFCBANK,2024,4,737.14,757.96,708.42,36224929.0,0.25,10.36,62.7,20
HDFCBANK,2024,5,731.71,762.2,703.41,35301673.0,0.11,9.65,48.05,21
HDFCBANK,2024,6,796.71,847.03,717.3,48193481.0,0.52,14.1,69.77,19
HDFCBANK,2024,7,810.01,885.04,783.44,47912489.0,-0.18,11.34,46.69,22
HDFCBANK,2024,8,805.21,826.8,786.03,53936279.0,0.07,7.81,52.27,21
HDFCBANK,2024,9,834.46,882.08,800.78,29866231.0,0.27,8.36,70.69,21
HDFCBANK,2024,10,837.24,872.53,795.74,32930480.0,0.02,13.59,51.19,22
HDFCBANK,2024,11,862.83,905.81,824.9,50149292.0,0.19,12.06,55.21,19
HDFCBANK,2024,12,901.1,927.46,871.03,20931934.0,-0.06,10.29,59.57,21
HDFCBANK,2025,1,828.37,889.7,801.32,22286207.0,-0.18,10.87,30.12,23
HDFCBANK,2025,2,842.62,871.72,819.47,22105012.0,0.1,9.61,57.04,20
HDFCBANK,2025,3,858.35,909.56,823.89,21894299.0,0.29,10.54,61.08,19
HDFCBANK,2025,4,917.07,976.25,857.51,28304789.0,0.29,16.37,64.53,19
HDFCBANK,2025,5,951.65,967.77,930.82,20147750.0,0.06,6.73,55.4,21
HDFCBANK,2025,6,966.76,1007.39,941.28,19957634.0,0.19,9.17,56.38,21
HDFCBANK,2025,7,998.24,1016.32,974.08,15682680.0,0.05,7.68,59.46,23
HDFCBANK,2025,8,987.94,1014.15,950.1,15367228.0,-0.31,7.61,44.22,19
HDFCBANK,2025,9,959.96,979.65,939.1,18474739.0,0.0,7.16,40.5,22
HDFCBANK,2025,10,988.87,1020.5,946.0,21506730.0,0.18,8.29,66.54,21
HDFCBANK,2025,11,994.07,1016.8,974.0,19080567.0,0.11,6.01,50.05,19
HDFCBANK,2025,12,994.17,1017.5,973.3,16191553.0,-0.07,6.14,47.78,22
HDFCBANK,2026,1,941.03,1006.4,905.0,30879938.0,-0.3,10.15,26.21,21
HDFCBANK,2026,2,923.68,994.0,885.0,28481371.0,-0.22,9.81,46.46,20
HDFCBANK,2026,3,870.71,887.75,848.0,36001369.0,-0.87,16.9,30.09,4
INFY,2020,1,654.36,681.23,608.62,8507498.0,0.25,8.87,59.29,22
INFY,2020,2,672.31,697.38,620.43,5672987.0,-0.29,7.07,53.72,19
INFY,2020,3,552.13,664.69,437.58,14531264.0,-0.48,33.58,28.05,21
INFY,2020,4,554.1,618.67,500.22,11307701.0,0.67,15.54,57.98,18
INFY,2020,5,582.86,610.37,555.69,9505503.0,-0.09,13.17,55.07,19
INFY,2020,6,619.08,654.62,588.34,10945931.0,0.31,9.24,59.86,22
INFY,2020,7,749.24,859.16,635.59,17265229.0,1.23,24.05,74.79,23
INFY,2020,8,828.17,848.67,796.58,7385189.0,-0.18,6.83,54.1,21
INFY,2020,9,847.14,903.19,794.41,10563504.0,0.39,13.55,57.03,22
INFY,2020,10,962.23,1032.96,881.2,13571039.0,0.3,20.12,68.17,21
INFY,2020,11,977.78,1016.68,925.3,10427158.0,0.2,15.48,50.88,20
INFY,2020,12,1042.65,1108.19,972.8,9354265.0,0.61,16.47,64.72,22
INFY,2021,1,1159.36,1226.11,1083.67,10335732.0,-0.05,24.83,67.5,20
INFY,2021,2,1130.12,1172.59,1092.48,6794038.0,0.06,14.86,43.08,20
INFY,2021,3,1187.68,1237.73,1108.32,8133176.0,0.43,19.64,61.31,21
INFY,2021,4,1214.48,1300.72,1162.02,9177646.0,-0.05,20.18,48.92,19
INFY,2021,5,1191.69,1247.08,1154.36,5531794.0,0.2,12.42,47.53,20
INFY,2021,6,1310.85,1415.7,1214.6,6695368.0,0.58,19.03,85.61,22
INFY,2021,7,1401.49,1444.53,1364.76,5214929.0,0.09,13.14,61.37,21
INFY,2021,8,1508.81,1563.41,1440.8,6321358.0,0.28,15.58,77.98,21
INFY,2021,9,1515.99,1591.0,1472.65,5426568.0,-0.08,16.07,48.4,21
INFY,2021,10,1529.98,1644.39,1478.21,7222030.0,0.04,28.38,52.46,20
INFY,2021,11,1557.72,1623.9,1498.41,5226321.0,0.14,22.31,54.55,20
INFY,2021,12,1611.25,1714.44,1518.47,4759653.0,0.43,22.61,59.84,23
INFY,2022,1,1641.95,1754.03,1494.68,7080984.0,-0.4,39.01,51.54,20
INFY,2022,2,1552.18,1609.41,1494.68,6446414.0,-0.04,24.54,41.91,20
INFY,2022,3,1647.8,1726.56,1509.04,7353366.0,0.51,25.19,64.58,21
INFY,2022,4,1520.43,1714.89,1391.44,8984035.0,-1.0,41.37,27.01,19
INFY,2022,5,1347.34,1426.81,1256.11,8382819.0,-0.12,24.88,36.79,21
INFY,2022,6,1327.14,1410.72,1240.3,6324764.0,-0.11,26.56,47.47,22
INFY,2022,7,1347.21,1411.35,1279.76,5482128.0,0.29,23.35,56.1,21
INFY,2022,8,1421.87,1479.98,1315.46,4619934.0,-0.18,25.55,58.5,20
INFY,2022,9,1299.6,1408.9,1229.27,7794552.0,-0.24,29.08,33.6,22
INFY,2022,10,1341.16,1418.25,1257.4,5531916.0,0.51,21.09,63.68,19
INFY,2022,11,1446.17,1516.47,1361.93,4377879.0,0.3,23.98,66.73,21
INFY,2022,12,1425.74,1533.99,1359.6,5803628.0,-0.36,18.61,40.38,22
INFY,2023,1,1388.1,1438.79,1326.62,6766380.0,0.09,17.01,49.9,21
INFY,2023,2,1442.54,1485.52,1358.54,4967348.0,-0.14,19.1,56.68,20
INFY,2023,3,1310.88,1394.4,1251.47,6793787.0,-0.19,19.9,23.78,21
INFY,2023,4,1202.29,1316.08,1087.07,10699762.0,-0.74,34.02,35.27,17
INFY,2023,5,1172.86,1222.26,1136.37,6989040.0,0.24,13.09,54.49,22
INFY,2023,6,1200.3,1244.45,1173.2,5966804.0,0.13,10.65,56.21,21
INFY,2023,7,1271.4,1393.07,1212.94,10118514.0,0.1,34.83,64.15,21
INFY,2023,8,1300.41,1342.97,1253.32,4871061.0,0.26,11.58,57.44,22
INFY,2023,9,1373.37,1411.28,1316.11,5077053.0,0.0,14.85,69.42,20
INFY,2023,10,1334.37,1411.14,1273.92,5782978.0,-0.17,19.2,38.12,20
INFY,2023,11,1332.18,1382.01,1272.56,4259304.0,0.31,16.68,53.97,20
INFY,2023,12,1424.93,1499.79,1349.29,6503892.0,0.31,20.47,66.13,20
INFY,2024,1,1501.05,1591.11,1399.61,7896341.0,0.37,27.06,58.85,21
INFY,2024,2,1582.54,1631.59,1539.8,4841610.0,0.04,15.95,55.83,21
INFY,2024,3,1490.78,1574.12,1394.86,7550042.0,-0.61,25.76,31.96,18
INFY,2024,4,1371.31,1440.42,1298.07,9272678.0,-0.26,16.98,28.71,20
INFY,2024,5,1355.44,1393.02,1321.09,8328432.0,0.05,11.56,50.7,21
INFY,2024,6,1440.82,1525.47,1304.45,9322867.0,0.58,24.32,64.95,19
INFY,2024,7,1669.86,1827.49,1497.62,8750878.0,0.81,32.58,88.25,22
INFY,2024,8,1769.91,1873.59,1650.36,5936690.0,0.2,31.47,59.9,21
INFY,2024,9,1840.28,1897.36,1793.31,6398538.0,-0.16,20.64,55.59,21
INFY,2024,10,1821.13,1912.43,1696.3,5644601.0,-0.23,23.73,47.59,22
INFY,2024,11,1790.31,1885.6,1668.62,5603211.0,0.31,34.68,50.54,19
INFY,2024,12,1877.72,1948.78,1782.45,4985379.0,0.06,25.53,59.0,21
INFY,2025,1,1838.85,1925.81,1741.51,6482656.0,0.02,32.38,42.55,23
INFY,2025,2,1786.02,1868.7,1634.09,5089156.0,-0.53,23.62,43.44,20
INFY,2025,3,1585.38,1683.14,1500.74,8305144.0,-0.36,30.68,26.49,19
INFY,2025,4,1416.1,1510.93,1269.43,10752674.0,-0.22,34.42,35.2,19
INFY,2025,5,1514.19,1585.09,1451.15,7002311.0,0.28,22.66,67.01,21
INFY,2025,6,1572.16,1622.56,1512.45,6904315.0,0.12,16.99,60.74,21
INFY,2025,7,1557.71,1624.14,1460.15,6892739.0,-0.25,18.03,41.47,23
INFY,2025,8,1442.19,1515.79,1392.68,9044361.0,-0.13,23.81,32.25,19
INFY,2025,9,1469.4,1531.55,1406.76,8157156.0,-0.07,24.84,53.06,22
INFY,2025,10,1468.44,1522.69,1405.88,7174596.0,0.21,23.23,48.67,21
INFY,2025,11,1521.93,1585.0,1449.1,9912284.0,0.28,21.84,59.91,19
INFY,2025,12,1615.21,1693.2,1554.1,7597528.0,0.16,19.28,65.9,22
INFY,2026,1,1638.95,1694.0,1583.1,6516506.0,0.09,21.03,51.94,21
INFY,2026,2,1420.35,1728.0,1264.1,17255994.0,-1.13,46.49,21.08,20
INFY,2026,3,1302.63,1327.2,1273.0,10985437.0,0.16,16.06,26.59,4
LT,2020,1,1210.29,1253.23,1168.0,3085541.0,0.21,15.73,57.47,22
LT,2020,2,1159.26,1205.9,1057.55,3265875.0,-0.73,19.41,35.55,19
LT,2020,3,876.81,1103.38,610.01,6477934.0,-1.58,55.25,18.77,21
LT,2020,4,788.35,870.26,703.96,6057223.0,0.62,30.61,55.22,18
LT,2020,5,776.86,865.18,730.63,5636383.0,0.25,23.6,45.28,19
LT,2020,6,861.18,918.25,806.58,6431455.0,0.08,24.14,58.43,22
LT,2020,7,853.98,890.01,827.16,4483947.0,-0.14,9.36,46.06,23
LT,2020,8,899.02,954.15,833.85,5244350.0,0.22,14.63,65.06,21
LT,2020,9,845.9,903.92,784.77,4451390.0,-0.2,15.61,31.41,22
LT,2020,10,854.35,925.94,815.53,6097319.0,0.16,13.89,57.17,21
LT,2020,11,999.1,1116.91,857.05,6753149.0,1.07,30.41,75.77,20
LT,2020,12,1160.9,1270.16,1047.73,6067878.0,0.64,21.36,76.51,22
